"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"304","81",-1.4658755021903,"G_8","E_8",0.104374190247062,"raw.ne",102
"305","G_11",1.48813615967105,"G_1","E_1",-0.139140305015415,"mean.ne",102
"306","G_21",1.08202796239296,"G_2","E_2",-0.0704525364827719,"mean.ne",102
"307","G_31",0.659313556858414,"G_3","E_3",-0.0452512949510497,"mean.ne",102
"308","G_41",0.159831729268876,"G_4","E_4",-0.0475536027985933,"mean.ne",102
"309","G_51",-0.218095286450094,"G_5","E_5",-0.00920176980667654,"mean.ne",102
"310","G_61",-0.641710015237664,"G_6","E_6",0.0731292822727226,"mean.ne",102
"311","G_71",-1.06362860431324,"G_7","E_7",0.134096036534722,"mean.ne",102
"312","G_81",-1.4658755021903,"G_8","E_8",0.104374190247061,"mean.ne",102
"313","1",-0.152496209040086,"G_1","E_1",-0.962144917242468,"raw",1030
"314","2",0.618289946637812,"G_2","E_2",1.42793865484019,"raw",1030
"315","G_1",-0.152496209040086,"G_1","E_1",-0.962144917242468,"means",1030
"316","G_2",0.618289946637812,"G_2","E_2",1.42793865484019,"means",1030
"317","11",-0.0302598607634875,"G_1","E_1",-0.747837840914625,"raw.ne",1030
"318","21",0.0302598607634873,"G_2","E_2",0.747837840914624,"raw.ne",1030
"319","G_11",-0.0302598607634876,"G_1","E_1",-0.747837840914625,"mean.ne",1030
"320","G_21",0.0302598607634874,"G_2","E_2",0.747837840914625,"mean.ne",1030
"321","1",0.493784037797636,"G_1","E_1",-0.402247298683691,"raw",1031
"322","2",-0.474321407126098,"G_2","E_2",0.421709929355228,"raw",1031
"323","G_1",0.493784037797636,"G_1","E_1",-0.40224729868369,"means",1031
"324","G_2",-0.474321407126098,"G_2","E_2",0.421709929355228,"means",1031
"325","11",0.143452223520646,"G_1","E_1",-0.21323733279423,"raw.ne",1031
"326","21",-0.143452223520646,"G_2","E_2",0.21323733279423,"raw.ne",1031
"327","G_11",0.143452223520646,"G_1","E_1",-0.21323733279423,"mean.ne",1031
"328","G_21",-0.143452223520646,"G_2","E_2",0.21323733279423,"mean.ne",1031
