"","X1","row","Variance_Component","SS","abs.SS.","omega2","Pvalue"
"329",4,1060,"V_cov",-12.3968,12.3968,0.0791,0
"330",5,1060,"V_error",38.5254,38.5254,0.2458,NA
"331",1,1061,"V_g",37.4944,37.4944,0.2817,0
"332",2,1061,"V_e",0.0914,0.0914,7e-04,0
"333",3,1061,"V_gxe",36.3666,36.3666,0.2733,0
"334",4,1061,"V_cov",-0.4252,0.4252,0.0032,0
"335",5,1061,"V_error",58.7031,58.7031,0.4411,NA
"336",1,1062,"V_g",25.73,25.73,0.2033,0
"337",2,1062,"V_e",10.6628,10.6628,0.0842,0
"338",3,1062,"V_gxe",46.4616,46.4616,0.3671,0
"339",4,1062,"V_cov",5.8534,5.8534,0.0462,0
"340",5,1062,"V_error",37.867,37.867,0.2992,NA
"341",1,1063,"V_g",29.8087,29.8087,0.1825,0
"342",2,1063,"V_e",14.7149,14.7149,0.0901,0
"343",3,1063,"V_gxe",33.4776,33.4776,0.205,0
"344",4,1063,"V_cov",19.4653,19.4653,0.1192,0
"345",5,1063,"V_error",65.8266,65.8266,0.4031,NA
"346",1,1064,"V_g",11.944,11.944,0.0858,0
"347",2,1064,"V_e",13.3199,13.3199,0.0956,0
"348",3,1064,"V_gxe",55.0701,55.0701,0.3954,0
"349",4,1064,"V_cov",11.6841,11.6841,0.0839,0
"350",5,1064,"V_error",47.2572,47.2572,0.3393,NA
"351",1,1065,"V_g",19.9346,19.9346,0.1059,0
"352",2,1065,"V_e",60.6294,60.6294,0.3221,0
"353",3,1065,"V_gxe",24.3581,24.3581,0.1294,0
"354",4,1065,"V_cov",31.0505,31.0505,0.165,0
"355",5,1065,"V_error",52.2686,52.2686,0.2777,NA
"356",1,1066,"V_g",17.7755,17.7755,0.1686,0
"357",2,1066,"V_e",20.9956,20.9956,0.1992,0
"358",3,1066,"V_gxe",13.7185,13.7185,0.1301,0
"359",4,1066,"V_cov",19.1963,19.1963,0.1821,0
"360",5,1066,"V_error",33.7364,33.7364,0.32,NA
"361",1,1067,"V_g",21.9962,21.9962,0.1321,0
"362",2,1067,"V_e",51.7546,51.7546,0.3109,0
"363",3,1067,"V_gxe",26.6372,26.6372,0.16,0
"364",4,1067,"V_cov",8.3965,8.3965,0.0504,0
"365",5,1067,"V_error",57.7044,57.7044,0.3466,NA
"366",1,1068,"V_g",55.4038,55.4038,0.3441,0
"367",2,1068,"V_e",17.4005,17.4005,0.1081,0
"368",3,1068,"V_gxe",4.9768,4.9768,0.0309,0
"369",4,1068,"V_cov",27.6638,27.6638,0.1718,0
"370",5,1068,"V_error",55.5867,55.5867,0.3452,NA
"371",1,1069,"V_g",2.393,2.393,0.0181,0
"372",2,1069,"V_e",6.2983,6.2983,0.0476,0
"373",3,1069,"V_gxe",79.1171,79.1171,0.5975,0
"374",4,1069,"V_cov",1.9521,1.9521,0.0147,0
"375",5,1069,"V_error",42.6637,42.6637,0.3222,NA
"376",1,106,"V_g",103.7854,103.7854,0.4567,0
"377",2,106,"V_e",35.8452,35.8452,0.1577,0
"378",3,106,"V_gxe",16.2243,16.2243,0.0714,0
"379",4,106,"V_cov",57.6199,57.6199,0.2535,0
"380",5,106,"V_error",13.7886,13.7886,0.0607,NA
"381",1,1070,"V_g",0.7729,0.7729,0.0073,0
"382",2,1070,"V_e",37.4087,37.4087,0.3548,0
"383",3,1070,"V_gxe",20.058,20.058,0.1902,0
"384",4,1070,"V_cov",-2.3236,2.3236,0.022,0
"385",5,1070,"V_error",44.8784,44.8784,0.4256,NA
"386",1,1071,"V_g",2.721,2.721,0.0227,0
"387",2,1071,"V_e",25.4886,25.4886,0.2124,0
"388",3,1071,"V_gxe",30.4128,30.4128,0.2535,0
"389",4,1071,"V_cov",0.1087,0.1087,9e-04,0
"390",5,1071,"V_error",61.257,61.257,0.5105,NA
"391",1,1072,"V_g",34.9991,34.9991,0.2404,0
"392",2,1072,"V_e",3.5573,3.5573,0.0244,0
"393",3,1072,"V_gxe",40.8832,40.8832,0.2809,0
"394",4,1072,"V_cov",-8.6555,8.6555,0.0595,0
"395",5,1072,"V_error",57.4723,57.4723,0.3948,NA
"396",1,1073,"V_g",6.8524,6.8524,0.0585,0
"397",2,1073,"V_e",14.4465,14.4465,0.1233,0
