"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
5,2.5,3.125,4.33466359631111,1.28441395017008,8.13752921045569
5,2.75,3.78125,3.16762317956723,0.262754450540952,6.39663303949593
5,3,4.5,3.85006480937177,1.34896809983605,7.07647485202707
5,3.25,5.28125,5.34610204727653,2.01313982215975,10.0784410581929
5,3.5,6.125,7.66036752266988,3.04134582253852,13.3371482644882
5,3.75,7.03125,6.24829205653299,2.50408585414831,10.7055202319231
5,4,8,7.42921408368529,2.92010555532893,13.6044808500113
5,4.25,9.03125,8.4908556612677,3.24980614083909,14.9238747013393
5,4.5,10.125,9.47934027236064,4.1070666989055,16.7580326518859
5,4.75,11.28125,10.9611483078919,4.12144603840648,19.9053574089076
5,5,12.5,10.323704620759,3.77802388816026,19.9787319519453
5,5.25,13.78125,15.2940200713243,5.20679990507362,26.6608062268057
5,5.5,15.125,17.1643044556241,7.03485466297205,30.0474868038353
5,5.75,16.53125,14.0663279580133,6.06811883877682,24.6819522103924
5,6,18,17.9399216262034,7.41005656573969,31.2399656457891
5,6.25,19.53125,17.9943131363027,7.99920339730484,32.170931081863
5,6.5,21.125,21.4925333957367,8.44824423950983,37.1101503679206
5,6.75,22.78125,21.2513282135161,8.73004864237554,35.3285938813157
5,7,24.5,25.2301746193189,9.54073219754872,44.1902067873367
5,7.25,26.28125,24.6336166502609,10.4815849548149,42.9545267518005
5,7.5,28.125,24.9000602146166,10.7436014956077,42.5256598766607
5,7.75,30.03125,29.5058069893471,10.5715579108422,50.8954149465055
5,8,32,34.6258686945741,14.2426726401327,59.2381658848454
5,8.25,34.03125,33.6984258699066,13.7015067025737,56.0451601126211
5,8.5,36.125,34.5557271771056,17.232938327395,59.1582735968416
5,8.75,38.28125,38.3762041058516,16.4754672804472,65.8465685811473
5,9,40.5,42.9431939155656,19.9510342875792,75.2594762209454
5,9.25,42.78125,43.0599406071,17.668485278073,72.935097065284
5,9.5,45.125,39.5494913105069,17.2475149430739,65.7572459698648
5,9.75,47.53125,48.4233290496489,21.7562216413168,81.8373029140386
5,10,50,50.2198517750181,22.8218542426177,87.1943206605338
6,1,0.5,0.586589597732509,-0.13410868709997,1.82695197028717
6,1.25,0.78125,0.604955250041099,0.144705034530519,1.23375929488763
6,1.5,1.125,1.11072345306408,0.241418549697916,2.26098253678191
6,1.75,1.53125,1.70310604039192,0.250945488448502,3.4651245562623
6,2,2,2.44648415801828,0.868610404353504,4.24433500389276
6,2.25,2.53125,1.88171051569533,0.240784329525312,3.62716961669294
6,2.5,3.125,3.16911773140159,1.10596046399722,5.59347504073416
6,2.75,3.78125,4.09144948864843,1.7266408693672,7.20934897247242
6,3,4.5,5.40034741560433,1.85230286813004,9.41716731434099
6,3.25,5.28125,5.78909373705511,2.39867764609075,10.2669891267405
6,3.5,6.125,7.26060042086738,2.91822188518834,12.1839597635831
6,3.75,7.03125,8.21597500590365,3.65452295737003,14.0452984930748
